          path                                                              c0                 c1              fsig                 mean1             mean2              nbkg              nsig            sigma1            sigma2    
        mass_fit_mc_mode401_momentum_costheta_080.cpp.sh.out        -6.0804e-01        9.4626e-01        7.9590e-01        1.9684e+00        1.9695e+00        8.2388e+00        7.5476e+02        3.4787e-03        1.1332e-02
        mass_fit_mc_mode401_momentum_costheta_081.cpp.sh.out        -4.4101e-01        -1.3499e+00        5.9875e-01        1.9688e+00        1.9683e+00        6.1851e+01        6.7613e+02        2.9791e-03        6.2796e-03
        mass_fit_mc_mode401_momentum_costheta_082.cpp.sh.out        -3.9080e-01        -1.7321e+00        8.5925e-01        1.9685e+00        1.9674e+00        6.3753e+01        6.6325e+02        3.8858e-03        7.0430e-03
        mass_fit_mc_mode401_momentum_costheta_083.cpp.sh.out        8.7893e-02        -1.2866e+00        4.8696e-01        1.9685e+00        1.9694e+00        3.5034e+01        6.5197e+02        2.9502e-03        5.7686e-03
        mass_fit_mc_mode401_momentum_costheta_084.cpp.sh.out        3.8516e-01        -1.5828e+00        4.4566e-02        1.9679e+00        1.9687e+00        8.1885e+01        6.1216e+02        9.3651e-04        4.2030e-03
        mass_fit_mc_mode401_momentum_costheta_085.cpp.sh.out        4.6942e-02        9.9894e-01        1.7681e-01        1.9698e+00        1.9689e+00        5.1634e+00        6.5175e+02        1.1102e-02        3.6175e-03
        mass_fit_mc_mode401_momentum_costheta_086.cpp.sh.out        -9.0491e-02        -3.0129e+00        2.8916e-02        1.9663e+00        1.9686e+00        1.1680e+02        5.6821e+02        1.6776e-04        3.8623e-03
        mass_fit_mc_mode401_momentum_costheta_087.cpp.sh.out        -5.2406e-01        -9.5796e-01        1.0992e-01        1.9714e+00        1.9688e+00        1.8987e+01        6.3501e+02        1.3824e-02        4.1229e-03
        mass_fit_mc_mode401_momentum_costheta_088.cpp.sh.out        1.0119e-01        -4.8581e-01        4.7926e-01        1.9689e+00        1.9687e+00        3.7762e+01        6.0129e+02        2.7010e-03        6.2009e-03
        mass_fit_mc_mode401_momentum_costheta_089.cpp.sh.out        1.7398e-01        9.7122e-01        7.8241e-01        1.9690e+00        1.9663e+00        1.2370e+01        5.8766e+02        4.0741e-03        9.8027e-03
        mass_fit_mc_mode401_momentum_costheta_090.cpp.sh.out        3.4998e-01        -2.0000e+00        6.2581e-01        1.9694e+00        1.9664e+00        5.7271e+01        5.5181e+02        3.6790e-03        6.5034e-03
        mass_fit_mc_mode401_momentum_costheta_091.cpp.sh.out        -1.8784e-01        -9.6531e-01        9.9214e-01        1.9689e+00        1.9545e+00        6.0043e+01        5.3796e+02        4.8349e-03        1.1903e-04
        mass_fit_mc_mode401_momentum_costheta_092.cpp.sh.out        3.5956e-01        -1.1815e+00        2.0983e-01        1.9706e+00        1.9677e+00        6.4246e+01        5.2072e+02        2.7238e-03        4.9379e-03
        mass_fit_mc_mode401_momentum_costheta_093.cpp.sh.out        1.9554e-01        -9.6789e-01        1.5780e-02        1.9722e+00        1.9684e+00        7.1941e+01        4.8809e+02        2.8977e-04        4.9089e-03
        mass_fit_mc_mode401_momentum_costheta_094.cpp.sh.out        -2.2550e-01        -4.3672e-01        7.6413e-02        1.9704e+00        1.9687e+00        4.2678e+01        5.3238e+02        1.2051e-03        5.7706e-03
        mass_fit_mc_mode401_momentum_costheta_095.cpp.sh.out        8.7626e-02        -2.0000e+00        7.6600e-02        1.9651e+00        1.9692e+00        7.3925e+01        5.0011e+02        5.6222e-04        4.8640e-03
        mass_fit_mc_mode401_momentum_costheta_096.cpp.sh.out        1.9074e-01        9.5205e-01        8.0614e-01        1.9691e+00        1.9683e+00        4.1803e+00        5.9382e+02        4.8547e-03        1.2893e-02
        mass_fit_mc_mode401_momentum_costheta_097.cpp.sh.out        1.5000e+00        -1.9610e+00        9.6220e-01        1.9687e+00        1.9543e+00        5.6140e+01        4.8484e+02        4.9760e-03        5.6437e-03
        mass_fit_mc_mode401_momentum_costheta_098.cpp.sh.out        -1.3814e-01        -1.1893e-01        9.6686e-01        1.9691e+00        1.9582e+00        3.1591e+01        5.1642e+02        5.4004e-03        3.1658e-03
        mass_fit_mc_mode401_momentum_costheta_099.cpp.sh.out        -2.7085e-01        -2.8792e-01        4.2051e-01        1.9653e+00        1.9710e+00        4.3602e+01        5.1336e+02        5.5543e-03        4.6515e-03
        mass_fit_mc_mode401_momentum_costheta_100.cpp.sh.out        -2.5000e+00        -3.0000e+00        7.1769e-01        1.9684e+00        1.9670e+00        3.7572e+01        4.6844e+02        5.3541e-03        8.1544e-03
        mass_fit_mc_mode401_momentum_costheta_101.cpp.sh.out        4.7052e-02        -5.4339e-01        5.2625e-01        1.9679e+00        1.9689e+00        4.7087e+01        7.6986e+02        2.6553e-03        5.8978e-03
        mass_fit_mc_mode401_momentum_costheta_102.cpp.sh.out        5.1186e-01        -3.2505e-01        7.4564e-01        1.9681e+00        1.9686e+00        3.1934e+01        7.8703e+02        3.2991e-03        6.9395e-03
        mass_fit_mc_mode401_momentum_costheta_103.cpp.sh.out        -2.5840e-01        -8.8863e-02        2.3779e-01        1.9694e+00        1.9683e+00        4.4284e+01        7.1970e+02        2.2253e-03        4.8679e-03
        mass_fit_mc_mode401_momentum_costheta_104.cpp.sh.out        -7.0962e-02        -6.5071e-01        5.9337e-02        1.9686e+00        1.9684e+00        4.8491e+01        7.2352e+02        6.8665e-04        4.3198e-03
        mass_fit_mc_mode401_momentum_costheta_105.cpp.sh.out        -1.1576e-01        -9.1286e-01        6.6379e-01        1.9683e+00        1.9683e+00        3.6911e+01        7.2613e+02        3.2153e-03        6.1916e-03
        mass_fit_mc_mode401_momentum_costheta_106.cpp.sh.out        -2.9704e-01        -6.9917e-01        1.2430e-01        1.9682e+00        1.9683e+00        6.0935e+01        7.0800e+02        8.6291e-04        4.7076e-03
        mass_fit_mc_mode401_momentum_costheta_107.cpp.sh.out        9.3105e-02        -9.4713e-01        2.0468e-01        1.9691e+00        1.9681e+00        5.6688e+01        6.6333e+02        1.6845e-03        4.5385e-03
        mass_fit_mc_mode401_momentum_costheta_108.cpp.sh.out        -7.5973e-01        -2.4272e+00        1.8427e-01        1.9702e+00        1.9680e+00        1.1936e+02        6.2161e+02        1.9267e-03        3.9366e-03
        mass_fit_mc_mode401_momentum_costheta_109.cpp.sh.out        2.9897e-01        -1.3206e+00        3.9797e-01        1.9690e+00        1.9678e+00        7.2883e+01        6.5414e+02        2.4314e-03        5.1710e-03
        mass_fit_mc_mode401_momentum_costheta_110.cpp.sh.out        -6.6947e-01        8.8831e-01        7.4006e-01        1.9688e+00        1.9693e+00        6.3961e+00        6.7860e+02        3.5029e-03        9.8761e-03
        mass_fit_mc_mode401_momentum_costheta_111.cpp.sh.out        7.4654e-01        9.1511e-01        7.8783e-01        1.9688e+00        1.9705e+00        5.2329e+00        7.1078e+02        3.8264e-03        1.0652e-02
        mass_fit_mc_mode401_momentum_costheta_112.cpp.sh.out        1.2603e+00        7.1524e-01        7.7298e-01        1.9687e+00        1.9680e+00        1.1586e+01        6.6043e+02        3.8647e-03        8.3944e-03
        mass_fit_mc_mode401_momentum_costheta_113.cpp.sh.out        -4.5611e-01        -1.4955e+00        4.1867e-01        1.9681e+00        1.9692e+00        3.8346e+01        6.4368e+02        3.1717e-03        6.1231e-03
        mass_fit_mc_mode401_momentum_costheta_114.cpp.sh.out        1.1155e-01        -9.5458e-01        2.5409e-02        1.9677e+00        1.9687e+00        6.9784e+01        6.1121e+02        7.7625e-04        4.6393e-03
        mass_fit_mc_mode401_momentum_costheta_115.cpp.sh.out        4.8996e-01        -4.8176e-01        6.4973e-01        1.9690e+00        1.9690e+00        2.4020e+01        6.2794e+02        3.3152e-03        6.4530e-03
        mass_fit_mc_mode401_momentum_costheta_116.cpp.sh.out        -3.7519e-01        -3.5946e-01        3.0173e-01        1.9695e+00        1.9687e+00        3.7517e+01        6.0049e+02        2.4142e-03        5.7780e-03
        mass_fit_mc_mode401_momentum_costheta_117.cpp.sh.out        2.4825e-01        -9.5523e-01        4.0978e-01        1.9691e+00        1.9689e+00        3.6367e+01        5.6761e+02        3.1022e-03        6.1593e-03
        mass_fit_mc_mode401_momentum_costheta_118.cpp.sh.out        4.1120e-01        -1.1176e+00        4.8241e-02        1.9666e+00        1.9688e+00        4.6548e+01        5.6127e+02        6.3030e-04        5.0970e-03
        mass_fit_mc_mode401_momentum_costheta_119.cpp.sh.out        -1.0953e+00        -2.1483e+00        5.6104e-02        1.9700e+00        1.9692e+00        7.2216e+01        5.1475e+02        9.6432e-04        4.7789e-03
        mass_fit_mc_mode401_momentum_costheta_120.cpp.sh.out        3.6554e-02        4.4011e-01        6.0381e-01        1.9688e+00        1.9680e+00        1.1850e+01        5.7321e+02        4.3693e-03        8.4487e-03
        mass_fit_mc_mode401_momentum_costheta_121.cpp.sh.out        -8.0536e-02        -7.9174e-01        4.3462e-02        1.9672e+00        1.9692e+00        4.6422e+01        5.2958e+02        1.7914e-04        5.5613e-03
        mass_fit_mc_mode401_momentum_costheta_122.cpp.sh.out        3.8065e-01        9.6007e-01        7.6568e-01        1.9689e+00        1.9685e+00        1.2855e+01        5.6017e+02        4.8027e-03        9.0584e-03
        mass_fit_mc_mode401_momentum_costheta_123.cpp.sh.out        4.9998e-02        -3.0000e+00        1.1209e-01        1.9736e+00        1.9683e+00        4.6689e+01        5.1134e+02        2.9249e-03        5.4483e-03
        mass_fit_mc_mode401_momentum_costheta_124.cpp.sh.out        8.5420e-01        8.9076e-01        6.1306e-01        1.9690e+00        1.9682e+00        9.5378e+00        5.6846e+02        4.9380e-03        9.0965e-03
        mass_fit_mc_mode401_momentum_costheta_125.cpp.sh.out        -5.7284e-01        2.4767e-01        6.5930e-01        1.9689e+00        1.9658e+00        9.4955e+00        4.9150e+02        4.6147e-03        8.6219e-03
        mass_fit_mc_mode401_momentum_costheta_126.cpp.sh.out        -8.1979e-01        -1.6278e+00        1.4945e-01        1.9680e+00        1.9686e+00        4.0618e+01        7.6735e+02        1.7875e-03        4.0515e-03
        mass_fit_mc_mode401_momentum_costheta_127.cpp.sh.out        -3.5136e-01        -1.1885e+00        1.9729e-01        1.9699e+00        1.9684e+00        3.9783e+01        7.6135e+02        8.0945e-03        3.3298e-03
        mass_fit_mc_mode401_momentum_costheta_128.cpp.sh.out        3.3603e-02        3.3701e-01        8.5928e-01        1.9686e+00        1.9699e+00        6.1387e+00        7.9286e+02        3.4662e-03        1.0831e-02
        mass_fit_mc_mode401_momentum_costheta_129.cpp.sh.out        -2.7740e-01        -7.3269e-01        5.5616e-01        1.9679e+00        1.9689e+00        5.5487e+01        6.9850e+02        2.9268e-03        5.9794e-03
        mass_fit_mc_mode401_momentum_costheta_130.cpp.sh.out        -3.7412e-02        -3.9719e-01        5.8811e-01        1.9686e+00        1.9676e+00        2.6287e+01        7.6068e+02        3.1970e-03        6.3975e-03
