          path                                                              c0                 c1              fsig                 mean1             mean2              nbkg              nsig            sigma1            sigma2    
        mass_fit_mc_mode401_momentum_costheta_115.cpp.sh.out        7.7870e-01        4.0152e-01        6.7588e-01        1.9689e+00        1.9688e+00        2.1927e+01        7.3508e+02        3.4226e-03        6.9643e-03
        mass_fit_mc_mode401_momentum_costheta_116.cpp.sh.out        -9.9843e-02        6.5275e-02        6.0904e-01        1.9685e+00        1.9695e+00        5.2619e+01        6.9841e+02        6.1572e-03        2.7321e-03
        mass_fit_mc_mode401_momentum_costheta_117.cpp.sh.out        1.5562e-01        -5.7192e-01        5.8582e-01        1.9691e+00        1.9685e+00        4.8239e+01        6.4668e+02        3.6845e-03        6.9003e-03
        mass_fit_mc_mode401_momentum_costheta_118.cpp.sh.out        1.8369e-01        -6.3012e-01        1.8660e-02        1.9666e+00        1.9687e+00        5.2432e+01        6.3559e+02        3.8069e-05        5.0056e-03
        mass_fit_mc_mode401_momentum_costheta_119.cpp.sh.out        -3.2625e-01        -5.9183e-01        7.1433e-01        1.9692e+00        1.9688e+00        4.2165e+01        6.2177e+02        3.9919e-03        7.9444e-03
        mass_fit_mc_mode401_momentum_costheta_120.cpp.sh.out        -1.0739e-02        -2.3400e-01        5.8812e-01        1.9689e+00        1.9676e+00        2.2546e+01        6.4237e+02        4.2644e-03        8.3752e-03
        mass_fit_mc_mode401_momentum_costheta_121.cpp.sh.out        -7.1352e-02        -9.9673e-01        2.1147e-02        1.9671e+00        1.9690e+00        7.1681e+01        5.9132e+02        2.7093e-05        5.4000e-03
        mass_fit_mc_mode401_momentum_costheta_122.cpp.sh.out        4.4240e-02        9.9920e-01        7.9404e-01        1.9688e+00        1.9680e+00        1.4318e+01        6.5873e+02        4.8055e-03        1.0863e-02
        mass_fit_mc_mode401_momentum_costheta_123.cpp.sh.out        8.2901e-01        -2.1547e+00        6.9655e-01        1.9710e+00        1.9637e+00        9.4496e+01        5.5351e+02        4.1659e-03        3.5080e-03
        mass_fit_mc_mode401_momentum_costheta_124.cpp.sh.out        5.7041e-01        9.5738e-01        5.8236e-01        1.9689e+00        1.9683e+00        1.0450e+01        6.5559e+02        4.8148e-03        8.8754e-03
        mass_fit_mc_mode401_momentum_costheta_125.cpp.sh.out        3.2478e-02        -8.4162e-01        6.7768e-01        1.9692e+00        1.9651e+00        2.0447e+01        5.4354e+02        4.5162e-03        7.8926e-03
        mass_fit_mc_mode401_momentum_costheta_126.cpp.sh.out        -2.8416e-01        -9.5116e-01        6.4148e-01        1.9685e+00        1.9685e+00        4.5712e+01        9.0228e+02        3.0383e-03        5.3431e-03
        mass_fit_mc_mode401_momentum_costheta_127.cpp.sh.out        4.9581e-01        5.7619e-01        8.0126e-01        1.9684e+00        1.9694e+00        1.6740e+01        8.9824e+02        3.4405e-03        9.6904e-03
        mass_fit_mc_mode401_momentum_costheta_128.cpp.sh.out        -2.1045e-02        -9.1371e-01        1.0964e-01        1.9706e+00        1.9686e+00        2.8220e+01        8.9577e+02        1.0620e-02        3.5555e-03
        mass_fit_mc_mode401_momentum_costheta_129.cpp.sh.out        -3.4204e-01        -7.1933e-01        5.6970e-01        1.9681e+00        1.9686e+00        7.0379e+01        8.0678e+02        2.9303e-03        6.0668e-03
